id,category,question,answer
50,Campus Facilities,Can students access e-resources from outside campus?,The university provides an off-campus e-resources access service for eligible faculty members through its library system.
51,Campus Facilities,What online learning platform is associated with the university?,The university has an ILMS based on the INFLIBNET Learning Management System.
52,Hostel,Does Dr. Harisingh Gour Vishwavidyalaya provide hostel facilities?,Yes. The university provides hostel facilities for students on campus.
53,Hostel,How many boys hostels are listed in the current admission brochure?,The 2025-26 admission brochure states that there are four boys' hostels on the university campus.
54,Hostel,How many girls hostels are listed in the current admission brochure?,The 2025-26 admission brochure states that there are four girls' hostels on the university campus.
55,Hostel,How can I apply for a hostel?,Hostel admission is handled according to university hostel rules and availability. Students should contact the concerned hostel wardens and follow the latest hostel notice.
56,Hostel,Is hostel accommodation guaranteed for every student?,Hostel accommodation is subject to availability and university hostel rules. Students should check the latest hostel admission notice for current conditions.
57,Student Services,Does the university have a placement cell?,Yes. The university has a Placement Cell and related student career activities.
58,Student Services,Does the university have a student grievance cell?,Yes. The university provides a Student Grievance Redressal mechanism and publishes information about its grievance system.
59,Student Services,Does the university provide health facilities?,Yes. Health facilities are listed among the university's student facilities.
60,Student Services,Does the university have sports facilities?,Yes. Sports facilities are available as part of student life and extracurricular activities.
61,Student Services,Does the university have NCC?,Yes. The university has NCC units. Official university material identifies units including 3 MP Signal Company NCC and 7 MP Girls Battalion NCC.
62,Student Services,Does the university have NSS?,Yes. National Service Scheme activities are available at the university.
63,Student Services,Does the university provide facilities for students with disabilities?,"Yes. Facilities include ramps, accessible website features, learning resources and examination support for eligible students."
64,Student Services,What accessibility facilities are available for students with disabilities?,"Published university material lists ramps, Sugamya Pustakalaya membership, accessible website features, a learning resource centre, assistive devices, high-speed internet and examination support."
65,Student Services,Does the university have a Day Care Center?,Yes. The university's public self-disclosure information lists a Day Care Center among its centres and facilities.
66,Student Services,Does the university have a Technology Enabling Centre?,Yes. The university's public self-disclosure information lists a Technology Enabling Centre.
67,Examination,Where can I find examination notifications?,Students should check the official university website and the examination-related notices published there for current schedules and instructions.
68,Examination,Where can I find semester examination information?,"Semester examination schedules, notices and related instructions should be checked through the university's official examination and notice channels."
69,Examination,What should I do if I have a question about my examination?,Check the latest examination notice first and then contact the relevant department or university examination office using the official contact details.
70,Research,Does the university support PhD research?,Yes. The university conducts doctoral programmes and research activities across multiple academic disciplines.
71,Research,Does the university have research laboratories?,Yes. University materials describe sophisticated laboratories and research infrastructure in science and other disciplines.
72,Research,Does the university provide access to research databases?,"The university library provides access to electronic resources and databases, including resources listed through its e-resources service."
73,Museum,Does Dr. Harisingh Gour Vishwavidyalaya have a museum?,Yes. Gour Sangrahalaya is a museum associated with Dr. Harisingh Gour Vishwavidyalaya and focuses on the life and legacy of Dr. Harisingh Gour.
74,Museum,Where is Gour Sangrahalaya located?,Gour Sangrahalaya is located at the Valley Campus of Dr. Harisingh Gour Vishwavidyalaya in Sagar.
75,Museum,What can visitors learn about at Gour Sangrahalaya?,"The museum presents information, artifacts and exhibits related to the life, achievements and legacy of Dr. Harisingh Gour."
76,Museum,What are the listed visiting hours of Gour Sangrahalaya?,"The museum website lists visiting hours as Monday to Saturday, 10:00 AM to 6:00 PM, and says it is closed on Sundays and national holidays. Visitors should verify current timings before visiting."
77,Contact,What is the university's general location?,"Dr. Harisingh Gour Vishwavidyalaya is located on University Road, Sagar, Madhya Pradesh 470003, India."
78,Contact,What is the university registrar office phone number?,An official university document lists the Registrar office telephone number as 07582-265228. Verify the current contact details on the official website before calling.
79,Contact,What is the Registrar office email address?,An official university document lists registrar@dhsgsu.edu.in for the Registrar's office. Verify the current contact details on the official website before sending important documents.
80,Contact,What is the contact number shown for the university ILMS?,The university ILMS contact page lists 9425424909 and the email ashrivastava@dhsgsu.edu.in. This is an ILMS contact and should not be treated as the general university helpline.
81,University History,Who was Dr. Sir Harisingh Gour?,"Dr. Sir Harisingh Gour was a lawyer, jurist, educationist, philanthropist and social reformer who founded the university in Sagar in 1946."
82,University History,When did Dr. Harisingh Gour die?,Dr. Sir Harisingh Gour died on 25 December 1949.
83,University History,What other universities did Dr. Harisingh Gour serve as Vice-Chancellor?,University materials state that Dr. Harisingh Gour served as the first Vice-Chancellor of the University of Delhi and also served as Vice-Chancellor of Nagpur University.
84,University History,What was the original name of the university?,The university was originally established as the University of Saugor in 1946.
85,University History,When was the university renamed Dr. Harisingh Gour Vishwavidyalaya?,The university was renamed Dr. Harisingh Gour Vishwavidyalaya in 1983.
86,University History,What is the historical significance of the university in Madhya Pradesh?,The university was established in 1946 and is described in university materials as the oldest university in Madhya Pradesh.
87,Campus Life,Does the university organize cultural activities?,"Yes. Cultural and extracurricular activities are part of university student life, including music, dance, theatre, literary and fine arts activities."
88,Campus Life,Does the university participate in inter-university youth festivals?,"Yes. The university has hosted and participated in inter-university cultural events, including the AIU Central Zone Youth Festival."
89,Campus Life,Are there playgrounds and sports facilities on campus?,"University materials describe sports infrastructure including sports facilities, playgrounds and related student activity spaces."
90,General Information,Where can I find the latest university notices?,"The latest notices should be checked on the official Dr. Harisingh Gour Vishwavidyalaya website because admission, examination, hostel and administrative information can change."
